"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B01N6JBSLS","B01LXBZ4WG","HAVIT Ecouteur Bluetooth Sans Fil V4.2 ＆ IPX5, Oreillette Bluetooth avec 10 heures de jeu et 10M sans fil gamme pour sport & jogging, microphone intégré - pour iPhone, iPad, Smartphones, Tablettes","SZ-YSB-AA-21035-1","4","36.36%","8","47.06%","88%","1","25.00%","€24.64","1"
"B01N7KN6LD","B01NCKU7JK","NENRENT S570 Oreillette Bluetooth V4.1 stéréo pour le sport mini ergonomique et anti-transpiration à jogger fil avec microphone pour iPhone,iPad, Samsung et d'autres appareils Bluetooth 1 pièce Nude","SZ-YSB-AA-21075-1","7","63.64%","9","52.94%","89%","1","14.29%","€19.79","1"
"B01N7KN6LD","B077G21QF1","NENRENT S570+ Bluetooth sans Fil Invisible Plus Petit Mini v4.1 écouteur, écouteurs Bluetooth oreillette Casque Double tarification écouteur avec 400mah Jumeaux pour iphone ipad, Samsung Galaxy LG 1PC","SZ-YSB-AA-21276-1","0","0.00%","0","0.00%","0%","1","0.00%","€28.99","1"
