"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07BWQSNTS","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Longest Call time up to 12-15 hour Wireless Bluetooth Earpiece Earbud Headphone Earphone with Mic Hands-Free Calls for iPhone iPad Samsung Galaxy LG 1 Unit (Black)","SZ-YSB-AA-21035-1","27","38.03%","35","36.08%","97%","7","25.93%","£132.93","6"
"B01NCKU7JK","B01NCKU7JK","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit","SZ-YSB-AA-21075-1","27","38.03%","38","39.18%","97%","6","22.22%","£89.88","6"
"B01LXNNAEY","B01LXNNAEY","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit (Rose Gold)","SZ-YSB-AA-21033-1","9","12.68%","14","14.43%","86%","1","11.11%","£14.98","1"
"B01LYMUB0S","B01LYMUB0S","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit (Black)","SZ-YSB-AA-21030-1","3","4.23%","3","3.09%","100%","3","100.00%","£44.94","1"
"B077G2MZ2K","B077G2MZ2K","NENRENT S570 TWS Bluetooth Earbuds 5.0 Ture Wireless Earpiece HD Stereo Audio Sound Wireless Bluetooth Headphones with Charging Case 24 H Music Playtime","SZ-YSB-AA-21287","2","2.82%","2","2.06%","100%","1","50.00%","£35.99","1"
"B083Y7H4D6","B077G2X17J","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for Cellphone and more 1 unit (S570+)","SZ-YSB-AA-21279-1","3","4.23%","5","5.15%","100%","1","33.33%","£22.99","1"
