"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07CBNFDTY","B01LXBZ4WG","NENRENT Auricular S580 con Bluetooth, Tiempo de conversación hasta 12 - 15 Horas, inalámbrico con Bluetooth y con micrófono para Llamadas y Manos Libres; para iPhone, iPad Samsung Galaxy, LG, HTC","SZ-YSB-AA-21035-1","10","100.00%","18","100.00%","100%","3","30.00%","€70.83","3"
"B07KG8TZHT","B01LYMUB0S","NENRENT S570 Auriculare inalámbricos más pequeños Invisibles Mini V4.1 Auriculare inalámbrico con Bluetooth Auriculares con micrófono Llamadas con Manos Libres para iPhone iPad Samsung Galaxy 1 Pieza","SZ-YSB-AA-21030-1","0","0.00%","0","0.00%","0%","1","0.00%","€18.47","1"
