"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07CBNFDTY","B01LXBZ4WG","NENRENT Auricular S580 con Bluetooth, Tiempo de conversación hasta 12 - 15 Horas, inalámbrico con Bluetooth y con micrófono para Llamadas y Manos Libres; para iPhone, iPad Samsung Galaxy, LG, HTC","SZ-YSB-AA-21035-1","17","48.57%","20","47.62%","95%","3","17.65%","€70.83","3"
"B07KG8TZHT","B01NCKU7JK","NENRENT Auriculares inalámbricos S570, Mini Auricular Invisible V4.1 Auriculares con micrófono Llamadas con Manos Libres para iPhone iPad Samsung Galaxy LG HTC Otro teléfono Inteligente (Nude)","SZ-YSB-AA-21075-1","18","51.43%","22","52.38%","100%","1","5.56%","€18.79","1"
