"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07CBNFDTY","B01LXBZ4WG","NENRENT Auricular S580 con Bluetooth, Tiempo de conversación hasta 12 - 15 Horas, inalámbrico con Bluetooth y con micrófono para Llamadas y Manos Libres; para iPhone, iPad Samsung Galaxy, LG, HTC","SZ-YSB-AA-21035-1","2","18.18%","2","13.33%","100%","1","50.00%","€23.61","1"
"B07KG8TZHT","B01NCKU7JK","NENRENT Auriculares inalámbricos S570, Mini Auricular Invisible V4.1 Auriculares con micrófono Llamadas con Manos Libres para iPhone iPad Samsung Galaxy LG HTC Otro teléfono Inteligente (Nude)","SZ-YSB-AA-21075-1","9","81.82%","13","86.67%","85%","1","11.11%","€18.79","1"
