"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B01NCKU7JK","B01NCKU7JK","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit","SZ-YSB-AA-21075-1","47","92.16%","65","94.20%","91%","10","21.28%","£149.80","10"
"B083Y7H4D6","B077G2X17J","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for Cellphone and more 1 unit (S570+)","SZ-YSB-AA-21279-1","3","5.88%","3","4.35%","100%","1","33.33%","£22.99","1"
"B07N1DX5C4","B07N1DX5C4","NENRENT Wireless Earbuds, S570 TWS Bluetooth 5.0 Ture Wireless Earbuds HD Stereo Audio Sound, Wireless Bluetooth Headphones with Charging Case 24 Hour Playtime, Sports Earphones with Built in Mic","SZ-YSB-AA-21407","1","1.96%","1","1.45%","100%","1","100.00%","£35.99","1"
