"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07BWQSNTS","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Longest Call time up to 12-15 hour Wireless Bluetooth Earpiece Earbud Headphone Earphone with Mic Hands-Free Calls for iPhone iPad Samsung Galaxy LG 1 Unit (Black)","SZ-YSB-AA-21035-1","31","35.23%","36","33.33%","97%","12","38.71%","£227.88","12"
"B01NCKU7JK","B01NCKU7JK","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit","SZ-YSB-AA-21075-1","41","46.59%","55","50.93%","91%","6","14.63%","£89.88","5"
"B01LXNNAEY","B01LXNNAEY","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit (Rose Gold)","SZ-YSB-AA-21033-1","12","13.64%","13","12.04%","92%","2","16.67%","£29.96","2"
"B01LYMUB0S","B01LYMUB0S","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit (Black)","SZ-YSB-AA-21030-1","4","4.55%","4","3.70%","100%","1","25.00%","£14.98","1"
