"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07BWQSNTS","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Longest Call time up to 12-15 hour Wireless Bluetooth Earpiece Earbud Headphone Earphone with Mic Hands-Free Calls for iPhone iPad Samsung Galaxy LG 1 Unit (Black)","SZ-YSB-AA-21035-1","36","52.17%","52","50.49%","94%","6","16.67%","£113.94","5"
"B01NCKU7JK","B01NCKU7JK","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit","SZ-YSB-AA-21075-1","28","40.58%","38","36.89%","92%","3","10.71%","£44.94","3"
"B01LXNNAEY","B01LXNNAEY","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit (Rose Gold)","SZ-YSB-AA-21033-1","2","2.90%","8","7.77%","75%","1","50.00%","£14.98","1"
"B083Y7H4D6","B077G2X17J","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for Cellphone and more 1 unit (S570+)","SZ-YSB-AA-21279-1","3","4.35%","5","4.85%","100%","1","33.33%","£22.99","1"
