"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B01NCKU7JK","B01NCKU7JK","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit","SZ-YSB-AA-21075-1","31","43.06%","42","40.78%","95%","9","29.03%","£134.82","9"
"B07BWQSNTS","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Longest Call time up to 12-15 hour Wireless Bluetooth Earpiece Earbud Headphone Earphone with Mic Hands-Free Calls for iPhone iPad Samsung Galaxy LG 1 Unit (Black)","SZ-YSB-AA-21035-1","30","41.67%","46","44.66%","100%","6","20.00%","£113.94","6"
"B01LXNNAEY","B01LXNNAEY","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit (Rose Gold)","SZ-YSB-AA-21033-1","7","9.72%","11","10.68%","100%","1","14.29%","£14.98","1"
"B083Y7H4D6","B077G2X17J","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for Cellphone and more 1 unit (S570+)","SZ-YSB-AA-21279-1","4","5.56%","4","3.88%","100%","1","25.00%","£22.99","1"
"B07D243GY6","B07D243GY6","NENRENT Activated Carbon Water Purifier Filter Replacement for Frigidaire ULTRAWF PureSource 1 Refrigerator Ice & Water Filter","SZ-YSB-AA-21296","0","0.00%","0","0.00%","0%","2","0.00%","£11.94","1"
