"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B01NCKU7JK","B01NCKU7JK","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit","SZ-YSB-AA-21075-1","52","69.33%","59","67.82%","100%","5","9.62%","£74.90","5"
"B07BWQSNTS","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Longest Call time up to 12-15 hour Wireless Bluetooth Earpiece Earbud Headphone Earphone with Mic Hands-Free Calls for iPhone iPad Samsung Galaxy LG 1 Unit (Black)","SZ-YSB-AA-21035-1","19","25.33%","23","26.44%","96%","3","15.79%","£56.97","3"
"B01LYMUB0S","B01LYMUB0S","NENRENT S570 Wireless Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with Mic Hands-Free Calls for Cellphone and More 1 Unit (Black)","SZ-YSB-AA-21030-1","3","4.00%","4","4.60%","75%","1","33.33%","£14.98","1"
"B083Y7H4D6","B077G2X17J","NENRENT S570+ Bluetooth Earbud, Smallest Mini Invisible V4.1 Wireless Bluetooth Earpiece Headset Headphone Earphone with 400mAh Charging Case Dock for Cellphone and more 1 unit (S570+)","SZ-YSB-AA-21279-1","1","1.33%","1","1.15%","100%","1","100.00%","£22.99","1"
