"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B074FY2NXX","B01NCKU7JK","NENRENT S570 Bluetooth Kopfhörer, kleinste Mini Invisible V4.1 Wireless Bluetooth Headset Ohrhörer mit Mikrofon Freisprecheinrichtung Anrufe für iPhone 8 7 6 Plus iPad Samsung HTC LG 1 Stück Nackt","SZ-YSB-AA-21075-1","53","72.60%","76","73.79%","93%","8","15.09%","€142.32","8"
"B074FVVVJL","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Längste Gesprächszeit bis zu 12-15 Stunden, Wireless Bluetooth Ohrhörer Kopfhörer Hörer LG HTC Smartphones","SZ-YSB-AA-21035-1","11","15.07%","15","14.56%","100%","2","18.18%","€51.40","2"
"B074FY2NXX","B01LYMUB0S","NENRENT S570 Bluetooth Kopfhörer, kleinste Mini Invisible V4.1 Wireless Bluetooth Headset Ohrhörer mit Mikrofon Freisprecheinrichtung Anrufe für iPhone 8 7 6 Plus iPad Samsung HTC LG 1 Stück Schwarz","SZ-YSB-AA-21030-1","9","12.33%","12","11.65%","92%","1","11.11%","€17.49","1"
