"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B074FY2NXX","B01NCKU7JK","NENRENT S570 Bluetooth Kopfhörer, kleinste Mini Invisible V4.1 Wireless Bluetooth Headset Ohrhörer mit Mikrofon Freisprecheinrichtung Anrufe für iPhone 8 7 6 Plus iPad Samsung HTC LG 1 Stück Nackt","SZ-YSB-AA-21075-1","45","77.59%","56","81.16%","96%","4","8.89%","€71.16","4"
"B074FVVVJL","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Längste Gesprächszeit bis zu 12-15 Stunden, Wireless Bluetooth Ohrhörer Kopfhörer Hörer LG HTC Smartphones","SZ-YSB-AA-21035-1","8","13.79%","8","11.59%","100%","1","12.50%","€25.70","1"
"B074FY2NXX","B077G2MZ2K","NENRENT S570 TWS Bluetooth Kopfhörer, Bluetooth 5.0 Headset Stereo-Minikopfhörer Kabellose Bluetooth Kopfhörer mit Portable Mini Ladekästchen Integriertem Mikrofon","SZ-YSB-AA-21287","1","1.72%","1","1.45%","0%","1","100.00%","€39.97","1"
"B074FY2NXX","B077G2X17J","NENRENT S570 + Bluetooth-Ohrhörer, die kleinste Mini-Wireless-Bluetooth-Headset unsichtbar v4.1 erstellt Zwillinge Kopfhörer mit 400mAh Ladegerät Fall für iPhone Samsung Galaxy lg 1 pipece Schwarz","SZ-YSB-AA-21279-1","4","6.90%","4","5.80%","100%","1","25.00%","€23.47","1"
