"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B074FY2NXX","B01NCKU7JK","NENRENT S570 Bluetooth Kopfhörer, kleinste Mini Invisible V4.1 Wireless Bluetooth Headset Ohrhörer mit Mikrofon Freisprecheinrichtung Anrufe für iPhone 8 7 6 Plus iPad Samsung HTC LG 1 Stück Nackt","SZ-YSB-AA-21075-1","36","80.00%","43","81.13%","100%","2","5.56%","€35.58","2"
"B074FVVVJL","B01LXBZ4WG","NENRENT S580 Bluetooth Headset, Längste Gesprächszeit bis zu 12-15 Stunden, Wireless Bluetooth Ohrhörer Kopfhörer Hörer LG HTC Smartphones","SZ-YSB-AA-21035-1","7","15.56%","8","15.09%","88%","1","14.29%","€25.70","1"
"B074FY2NXX","B077G2MZ2K","NENRENT S570 TWS Bluetooth Kopfhörer, Bluetooth 5.0 Headset Stereo-Minikopfhörer Kabellose Bluetooth Kopfhörer mit Portable Mini Ladekästchen Integriertem Mikrofon","SZ-YSB-AA-21287","2","4.44%","2","3.77%","100%","1","50.00%","€39.97","1"
