"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07CBNFDTY","B01LXBZ4WG","NENRENT Auricular S580 con Bluetooth, Tiempo de conversación hasta 12 - 15 Horas, inalámbrico con Bluetooth y con micrófono para Llamadas y Manos Libres; para iPhone, iPad Samsung Galaxy, LG, HTC","SZ-YSB-AA-21035-1","15","83.33%","17","77.27%","100%","3","20.00%","€70.83","3"
"B07KG8TZHT","B077G2MZ2K","NENRENT Auriculares inalámbricos, Auriculares Bluetooth 5.0 Ture Bluetooth con Estuche de Carga Tiempo de reproducción Las 24 Horas, Auriculares con Sonido estéreo HD con micrófono Incorporado","SZ-YSB-AA-21287","1","5.56%","1","4.55%","100%","1","100.00%","€39.97","1"
"B07KG8TZHT","B07N1DX5C4","NENRENT Auriculares inalámbricos, Auriculares Bluetooth 5.0 Ture Bluetooth con Estuche de Carga Tiempo de reproducción Las 24 Horas, Auriculares con Sonido estéreo HD con micrófono Incorporado","SZ-YSB-AA-21407","2","11.11%","4","18.18%","100%","1","50.00%","€39.97","1"
