"(父） ASIN","（子）ASIN","商品名称","SKU","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B074FY2NXX","B01NCKU7JK","NENRENT S570 Bluetooth Kopfhörer, kleinste Mini Invisible V4.1 Wireless Bluetooth Headset Ohrhörer mit Mikrofon Freisprecheinrichtung Anrufe für iPhone 8 7 6 Plus iPad Samsung HTC LG 1 Stück Nackt","SZ-YSB-AA-21075-1","44","97.78%","51","98.08%","100%","1","2.27%","€17.79","1"
"B074FY2NXX","B077G2MZ2K","NENRENT S570 TWS Bluetooth Kopfhörer, Bluetooth 5.0 Headset Stereo-Minikopfhörer Kabellose Bluetooth Kopfhörer mit Portable Mini Ladekästchen Integriertem Mikrofon","SZ-YSB-AA-21287","1","2.22%","1","1.92%","100%","1","100.00%","€39.97","1"
